uuid,female,male,other,skip,total
2fd63c42-5706-438b-a101-14c098cf521c,0,1,0,0,1
37921978-9f66-49d7-bf80-af06d9bc42c8,1,0,0,0,1
3b3c8672-560a-48ab-88a3-424806065463,1,0,0,0,1
3e1ce41d-f3cc-4a02-aca8-2d873c06c571,0,2,0,0,2
4a9dae77-700b-4d56-a3a0-3c31f743f873,0,1,0,0,1
5899d0a0-27e0-459d-8165-6b1fe2477a3d,0,1,0,0,1
68e293a5-8d40-4952-b304-727f9d2f3c2d,1,0,0,0,1
a4a7f167-23c7-4f07-90dc-6830226561b9,0,2,0,0,2
c3b26cf1-abac-4c50-9f72-5c7535e3861a,1,0,0,0,1
d2b7da38-9f79-450f-abdd-062b4c78c5d0,0,1,0,0,1
f3179d59-e69c-42dd-8607-2b674b8f2251,0,1,0,0,1
f7997d4a-c7fb-4002-b4c6-495c4a2887ef,0,1,0,0,1
