uuid,female,male,other,skip,total
68dc0324-f8bc-4aef-9ec8-8ccfd002c695,,2,,,2
968d620b-f217-4b04-ba96-3fd627fd8e96,,2,,,2
1eefbb7a-a259-46ce-9d3d-7d15e36efc91,,2,,,2
9b887450-06e0-4e08-875d-2f6bf4a67bb9,,2,,,2
fc1685de-e5cb-4c34-9a81-c5d7ed29df7d,,2,,,2
f8345d9a-4eae-4dca-8ce2-d1cf2f492f2d,,2,,,2
d14f9619-cd78-4d41-acdf-d4e0ec7d3592,,2,,,2
7ae7835e-a437-4b02-9fec-434babe99226,,2,,,2
48e10760-be30-469d-916e-5c381975fe98,,2,,,2
1d468512-58aa-4557-8b2a-fb598002f1bd,,2,,,2
5f15da28-8b28-47ea-975b-c1a92ea3b8a8,,2,,,2
33edd0a1-ee30-4ad3-be28-34a32999d8c3,2,,,,2
b4c82324-73d3-4a43-873f-7daac6eecef7,,2,,,2
080556fd-ab7b-4f77-a750-997d37509edd,,2,,,2
9a0213cf-6f9c-45c3-b105-b7760ac721cb,2,,,,2
