uuid,female,male,other,skip,total
02d3781d-f785-4f2e-b1e6-c56b396a7093,0,1,0,0,1
081d97c0-d123-4e48-ba6d-59cdfe0e9e23,0,1,0,0,1
165c68e4-b9eb-4dc1-87fb-8b7c7b6df6db,0,1,0,0,1
17405a38-3a25-4c51-ad86-3794742f9540,0,1,0,0,1
361a24bf-3a5c-4aad-80cc-d9efff197461,0,2,0,0,2
39ac2f15-513d-4c90-ac24-3a8108bea3e4,0,1,0,0,1
50732d43-5318-409a-a5ca-29670f1bb846,0,1,0,0,1
50886da6-8654-4790-89d5-528ed7d8c876,0,1,0,0,1
692cc1e8-af7d-4b14-8d54-aeda57338c7d,0,1,0,0,1
6b84796d-bbd7-4b09-bd94-cfda16785bd1,0,1,0,0,1
802e8e7a-ee52-44ef-840a-0e83f06c7d12,0,1,0,0,1
80626a5a-33a8-47e7-88ca-0fcd5f2e26fe,0,1,0,0,1
92077ffa-2ff9-4d36-ac28-cf39a74f1c76,0,1,0,0,1
aa16b078-a0f9-49ec-8239-c4c076f70d8b,1,0,0,0,1
bcfd822d-1212-4022-9cda-236751e4cf3b,0,1,0,0,1
e7634741-ca86-422e-b17d-ea888f598b95,0,1,0,0,1
ee28aa27-a7a5-4f53-a5ae-b87e58986e10,1,0,0,0,1
f1d525d3-f133-4f51-abd9-d0087bc95a76,0,1,0,0,1
