id,name,position,start_date,end_date
ddcd18fa-fe8d-426a-a287-5c3dca3fd10e,Alf Svensson,member of the European Parliament,2009-07-14,2014-07-01
03c2d093-3d7a-44a6-9da0-98fb1def6a5c,Anders Ygeman,Swedish minister for Home Affairs,2014-10-03,
6ff03c41-2f26-4fbc-b0b4-0e294fbe0df1,Andreas Carlgren,Minister for the Environment,,
c6b686e9-3c98-4fa8-b74f-9fd6b63392c7,Anna Johansson,Minister for Communications and Regional Policy,2014-10-03,
89b6e2a6-1e27-48af-a56b-a6c95b8b9b61,Beatrice Ask,Minister for Justice,,
e0d5cafb-217c-482b-8401-ec00acd4914e,Birgitta Ohlsson,Minister for EU Affairs,,
40d5d691-2283-46ea-9239-cb3913a2d730,Björn von Sydow,Minister for Defence,,
40d5d691-2283-46ea-9239-cb3913a2d730,Björn von Sydow,Speaker of the Parliament of Sweden,,
419bd45f-e0c4-48e3-a712-5444dafbf3f7,Bodil Ceballos,member of the European Parliament,,
127a4aef-d769-4343-a894-f48082075c52,Bosse Ringholm,Deputy Prime Minister of Sweden,2004-11-01,2006-10-06
df57beb9-e390-46a1-b5ab-3bbc69fc5ea8,Carl Schlyter,member of the European Parliament,,
bc861732-9c37-4a42-ab32-01fdaaec2642,Cecilia Wikström,member of the European Parliament,,
1e3f1d7e-c5a3-49d5-809e-db6a85ec0e50,Fredrick Federley,member of the European Parliament,,
edc7e502-6168-406b-a5d3-91fca58489c1,Fredrik Reinfeldt,Prime Minister of Sweden,2006-10-06,2014-10-03
edc7e502-6168-406b-a5d3-91fca58489c1,Fredrik Reinfeldt,Leader of the Opposition,2003-10-25,2006-10-06
edc7e502-6168-406b-a5d3-91fca58489c1,Fredrik Reinfeldt,President of the European Council,2009-07-01,2009-12-01
a4ea0909-53bb-4d43-bf18-ff0d1df9c48a,Gunilla Carlsson,Minister for International Development Cooperation,,
a4ea0909-53bb-4d43-bf18-ff0d1df9c48a,Gunilla Carlsson,member of the European Parliament,,
d48433fe-cb20-4c4d-85bf-48b41e6cfbbd,Gustav Fridolin,Minister for Education and Science,2014-10-03,
fbbda3d4-710d-4ab5-bee2-e543bbd79a01,Göran Hägglund,Minister for Health and Social Affairs,,
3a3d6003-3213-43fe-87d6-5b1d80aadc63,Göran Persson,Leader of the Opposition,,
3a3d6003-3213-43fe-87d6-5b1d80aadc63,Göran Persson,Minister for Finance,1994-10-07,1996-03-22
3a3d6003-3213-43fe-87d6-5b1d80aadc63,Göran Persson,Prime Minister of Sweden,1996-03-22,2006-10-06
489e6f91-d079-4607-a2d0-e8ca1d36b756,Hans Wallmark,President of the Nordic Council,2014-10,2014-12-31
2f1081e6-58bc-41fa-859f-24efbf5eacb1,Holger Gustafsson,member of the European Parliament,,
e5fbc9c9-c7fb-4eff-925a-ef55c915d2e3,Håkan Juholt,Leader of the Opposition,,
a3e9ddfb-3d1f-4a29-afb3-ef6b940547ed,Ibrahim Baylan,Minister for Energy,2014-10-03,
a3e9ddfb-3d1f-4a29-afb3-ef6b940547ed,Ibrahim Baylan,Minister for Education and Science,2004-11-01,2006-10-06
62bdc78a-0b34-4ca0-b130-aa0d6f97114e,Jens Holm,member of the European Parliament,,
c018292d-9161-4f28-b23c-b402307d08e1,Jimmie Åkesson,Swedish Democrats party leader,2005-05-07,
f6b54fe9-7b3b-4d97-b412-cf6ba2f55614,Jonas Sjöstedt,member of the European Parliament,,
6b8a0f33-b399-4958-acaa-68b82ce9b339,Karin Åström,President of the Nordic Council,2014-01-01,2014-10
f56a8943-7404-4d20-9f14-c4a97e18341b,Kristina Winberg,member of the European Parliament,,
b66949f7-763a-4495-a2a5-ed0bd8790ef6,Lena Ek,Minister for the Environment,,
b66949f7-763a-4495-a2a5-ed0bd8790ef6,Lena Ek,member of the European Parliament,,
2ec44c7d-bf84-47f2-9ad3-c023bac77fe4,Lennart Sacrédeus,member of the European Parliament,,
0079fcb8-c1bb-495c-a8c1-0102bcf93d0e,Lisbeth Grönfeldt Bergman,member of the European Parliament,,
43df46c2-8670-494e-90bb-09d642ba9fd2,Magdalena Andersson,Minister for Finance,2014-10-03,
182c67e0-24e9-45f5-ae29-a9877c2d63a4,Marita Ulvskog,member of the European Parliament,,
861bf5eb-5117-4ba5-a8c9-b813dc4ad411,Mats Odell,Minister for Financial Markets,,
300c1b29-38b7-4850-9a36-a2e3f317807b,Max Andersson,member of the European Parliament,,
30628296-1aa5-4901-ae79-69f66708946e,Mikael Damberg,Minister for Enterprise,2014-10-03,
0b6156e2-8038-49f0-8838-8d1de2b83cb8,Mikael Odenberg,Minister for Defence,,
692beec2-2244-449a-8cd3-ad6ace0537c4,Mona Sahlin,Leader of the Opposition,2007-03-17,2011-03-25
60044bb3-182b-40e8-82fe-ba9c5afce4e8,Peder Wachtmeister,member of the European Parliament,,
cd64ad4d-f4b5-4c19-8bda-4be49f41f8f1,Per Bolund,Minister for Financial Markets,2014-10-03,
dd505e43-0b7f-4733-9bcc-bc379e165590,Per Westerberg,Speaker of the Parliament of Sweden,,
4a8583d9-d008-4708-ba95-309f8b686b8e,Peter Eriksson,member of the European Parliament,,
28cb378e-8e91-4a2c-9f31-a55a5952e218,Peter Hultqvist,Minister for Defence,2014-10-03,
68a3efed-86c0-4540-b8bb-a6efcb5694d6,Peter Lundgren,member of the European Parliament,,
36618bb4-8620-4d5d-869f-9aa50b76786c,Sinikka Bohlin,President of the Nordic Council,2009-01-01,2009-12-31
d31a96d1-8ce8-42c1-afec-8726fb3126a2,Stefan Löfven,Leader of the Opposition,2012-01-27,2014
d31a96d1-8ce8-42c1-afec-8726fb3126a2,Stefan Löfven,Prime Minister of Sweden,2014-10-03,
190dd1dd-f426-4764-b88f-e2809a4c855d,Sten Tolgfors,Minister for Defence,,
0b387a2f-c5fc-4b9e-92d4-f9351a493d13,Thomas Bodström,Minister for Justice,,
6fcc3a09-e8b0-4e49-b846-5ef2f202075d,Tommy Waidelich,member of the European Parliament,,
2a923e2a-55a8-4796-8c9c-3e0b0b158e94,Ulf Holm,member of the European Parliament,,
29f8dcf2-2420-4f06-a574-3e3db1f47e73,Veronica Palm,member of the European Parliament,,
db612321-7d4b-4838-846b-bff29172c7d6,Åsa Romson,Minister for the Environment,2014-10-03,
db612321-7d4b-4838-846b-bff29172c7d6,Åsa Romson,Deputy Prime Minister of Sweden,2014-10-03,
5220e30f-4b04-4348-a71b-d6e9b400233c,Åsa Westlund,member of the European Parliament,2004-07-20,2014-06-30
